,task_type,prompt,quality_level,quality_score,grade,hallucination_risk,clarity,specificity,structure,constraints,decisions,prompt_length,prompt_word_count,custom_score_100,custom_grade,rank_band,has_keywords,keyword_count,keyword_density
0,post,post about analyze supply chain efficiency,low,60,D,0.73,1,1,2,1,Insufficient detail for execution | No constraints specified | No format guidance | Requires complete rewrite,42,6,25.02,F,Very Poor,1,1,0.16666666666666666
1,code,develop risk assessment framework script needed asap,low,52,F,0.66,2,2,2,2,Unprofessional presentation | No context provided | Task unclear | Cannot determine success criteria,52,7,34.99,F,Very Poor,0,0,0.0
2,presentation,Need a deck on develop project timeline for design conference. 10 slides max.,medium,77,C,0.54,4,3,4,3,Understandable intent | Structure inconsistent | Some critical details omitted | Requires clarification for complex execution,77,13,57.32,C,Average,0,0,0.0
3,video,Plan a video showing create training video content. This is for our marketing department.,medium,68,D,0.33,4,2,3,4,Partial structure present but incomplete | Some sections missing | Minor ambiguity in deliverables | Acceptable for basic use,89,14,59.97,C,Average,1,1,0.07142857142857142
4,document,"Role: Policy writer for agriculture organizations.
Task: Draft a policy document regarding analyze supply chain efficiency.
Context: Must align with industry regulations and best practices.
Constraints: Formal tone, legally compliant language.
Output Format: Policy statement + scope + procedures + compliance requirements.",high,85,B,0.15,5,4,5,5,Well-defined task with context | Multiple relevant sections included | Constraints appropriately specified | Professional tone maintained,327,42,91.05,A,Excellent,1,1,0.023809523809523808
5,report,"Role: Compliance auditor for hospitality operations.
Task: Prepare an audit report on implement payment processing.
Instructions: Document findings with evidence, rate risk levels.
Constraints: Objective tone, cite specific standards/regulations.
Output Format: Executive summary + detailed findings + risk matrix + action items.",high,95,A,0.21,5,4,5,3,Detailed instructions provided | Input data section clarifies scope | Constraints prevent scope creep | Output format enables evaluation,333,42,80.35,B,Good,0,0,0.0
6,presentation,powerpoint create policy compliance guide,low,59,F,0.65,1,2,2,1,Insufficient detail for execution | No constraints specified | No format guidance | Requires complete rewrite,41,5,29.12,F,Very Poor,0,0,0.0
7,report,findings on analyze website traffic patterns,low,43,F,0.69,2,1,1,1,No structure or organization | Extremely vague request | Missing critical information | High hallucination risk,44,6,25.31,F,Very Poor,1,1,0.16666666666666666
8,post,post about write executive briefing,low,49,F,0.88,1,2,2,2,Insufficient detail for execution | No constraints specified | No format guidance | Requires complete rewrite,35,5,28.45,F,Very Poor,0,0,0.0
9,presentation,powerpoint create competitor analysis,low,52,F,0.82,2,1,1,2,Fragmented input | Missing role/task/output elements | Ambiguous scope | Likely to produce poor results,37,4,26.49,F,Very Poor,0,0,0.0
10,document,Draft document explaining automate data entry processes to design audience.,medium,78,C,0.36,3,2,4,4,Functional but not optimized | Missing output format specification | Constraints vague | Adequate for simple tasks,75,10,59.3,C,Average,1,1,0.1
11,report,report create investor pitch materials,low,46,F,0.85,1,2,2,2,Fragmented input | Missing role/task/output elements | Ambiguous scope | Likely to produce poor results,38,5,28.93,F,Very Poor,0,0,0.0
12,creative,Create story featuring design mobile app interface for marketing audience. 500 words.,medium,66,D,0.44,2,2,4,4,Understandable intent | Structure inconsistent | Some critical details omitted | Requires clarification for complex execution,85,12,53.44,D,Poor,0,0,0.0
13,data_analysis,Analyze data on build data pipeline for operations insights. Charts and summary.,medium,67,D,0.46,3,2,2,3,Understandable intent | Structure inconsistent | Some critical details omitted | Requires clarification for complex execution,80,12,45.57,D,Poor,1,1,0.08333333333333333
14,post,"Role: Content creator for sales communities.
Task: Write a Twitter thread about create crisis management protocol.
Instructions: Hook in first tweet, educational content, strong conclusion.
Constraints: 8-10 tweets, each under 280 characters.
Output Format: Full thread with engagement prompts for each tweet.",high,91,A,0.17,5,5,5,5,Detailed instructions provided | Input data section clarifies scope | Constraints prevent scope creep | Output format enables evaluation,313,42,94.48,A,Excellent,0,0,0.0
15,presentation,deck for optimize database queries,low,42,F,0.68,1,2,1,2,Casual tone inappropriate for task | Key parameters missing | Unclear objectives | High risk of misunderstanding,34,5,28.57,F,Very Poor,0,0,0.0
16,document,optimize database queries paper needed,low,34,F,0.81,1,1,2,2,Unprofessional presentation | No context provided | Task unclear | Cannot determine success criteria,38,5,26.78,F,Very Poor,0,0,0.0
17,report,Analyze create budget proposal and write report for hospitality leadership. Include findings.,medium,79,C,0.3,3,2,4,2,Basic structure exists | Key information partially provided | Some context missing | Acceptable with follow-up questions,93,12,53.42,D,Poor,1,1,0.08333333333333333
18,document,Write documentation for create budget proposal in strategy setting. Clear and thorough.,medium,69,D,0.4,4,4,2,3,Basic structure exists | Key information partially provided | Some context missing | Acceptable with follow-up questions,87,12,58.04,C,Average,0,0,0.0
19,other,"Role: Project manager for legal initiatives.
Task: Create a project plan for automate data entry processes.
Instructions: Define scope, milestones, resources, risks.
Constraints: 6-month timeline, budget constraints, 5-person team.
Output Format: Project charter + WBS + timeline + risk register.",high,95,A,0.08,5,5,5,3,Clear role assignment establishes expertise | Structured sections aid comprehension | Specific constraints reduce ambiguity | Output format specified for consistency,300,40,89.95,A,Excellent,1,1,0.025
20,document,create training video content paper needed,low,61,D,0.88,2,2,1,1,Casual tone inappropriate for task | Key parameters missing | Unclear objectives | High risk of misunderstanding,42,6,25.77,F,Very Poor,0,0,0.0
21,data_analysis,"Role: Research analyst in marketing field.
Task: Perform comparative analysis of build automated testing suite.
Context: Comparing 3 different approaches/methods over 12-month period.
Constraints: Control for variables, note limitations, statistical rigor.
Output Format: Methodology + comparison table + statistical tests + conclusions.",high,98,A,0.13,4,5,4,5,Well-defined task with context | Multiple relevant sections included | Constraints appropriately specified | Professional tone maintained,341,42,87.75,A,Excellent,0,0,0.0
22,presentation,slides on create policy compliance guide,low,27,F,0.81,1,1,1,1,Unprofessional presentation | No context provided | Task unclear | Cannot determine success criteria,40,6,21.29,F,Very Poor,0,0,0.0
23,code,"Role: You are an experienced agriculture software engineer.
Task: Write a Python function to create FAQ document.
Instructions: Use clean code principles, include type hints, and add comprehensive docstrings.
Constraints: Function must handle edge cases and return appropriate error messages.
Output Format: Provide the code block followed by 2-3 usage examples.",high,96,A,0.24,5,4,4,3,Clear role assignment establishes expertise | Structured sections aid comprehension | Specific constraints reduce ambiguity | Output format specified for consistency,366,51,75.03,B,Good,1,2,0.0392156862745098
24,code,I need a function that can create crisis management protocol. It should be in Python and work for finance data.,medium,75,C,0.49,4,4,3,3,Understandable intent | Structure inconsistent | Some critical details omitted | Requires clarification for complex execution,111,20,58.92,C,Average,0,0,0.0
